Order ID,Order_date,Order_Priority,Forecast Order Quantity,Ship_Mode,Shipping_Cost,Product_id,Customer_id
1000050114,2024-1-1,Critical,52,Delivery Truck,28.16,100000000000001114,10000000000000000114
1000050115,2026-11-1,Low,78,Regular Air,5.33,100000000000001115,10000000000000000115
1000050116,2022-10-1,Low,64,Regular Air,24.49,100000000000001116,10000000000000000116
1000050117,2021-3-1,Low,63,Delivery Truck,53.03,100000000000001117,10000000000000000117
1000050118,2024-8-1,Critical,71,Regular Air,19.99,100000000000001118,10000000000000000118
1000050119,2023-6-1,Critical,62,Regular Air,1.57,100000000000001119,10000000000000000119
1000050120,2025-2-1,Critical,66,Delivery Truck,50,100000000000001120,10000000000000000120
1000050121,2024-5-1,Critical,62,Regular Air,1.22,100000000000001121,10000000000000000121
1000050122,2026-1-1,High,51,Regular Air,7.46,100000000000001122,10000000000000000122
1000050123,2023-10-1,High,68,Regular Air,5.03,100000000000001123,10000000000000000123
1000050124,2025-7-1,Not Specified,69,Regular Air,13.99,100000000000001124,10000000000000000124
1000050125,2025-6-1,Low,53,Regular Air,8.88,100000000000001125,10000000000000000125
1000050126,2024-5-1,Low,62,Regular Air,7.5,100000000000001126,10000000000000000126
1000050127,2024-8-1,Not Specified,71,Regular Air,13.18,100000000000001127,10000000000000000127
1000050128,2025-4-1,Not Specified,61,Express Air,5.01,100000000000001128,10000000000000000128
1000050129,2024-11-1,Not Specified,53,Regular Air,5.09,100000000000001129,10000000000000000129
1000050130,2021-2-1,High,60,Regular Air,11.63,100000000000001130,10000000000000000130
1000050131,2024-9-1,High,87,Regular Air,14.72,100000000000001131,10000000000000000131
1000050132,2023-7-1,Critical,57,Delivery Truck,60.49,100000000000001132,10000000000000000132
1000050133,2025-11-1,Low,58,Regular Air,4,100000000000001133,10000000000000000133
1000050134,2024-8-1,Not Specified,71,Regular Air,0.99,100000000000001134,10000000000000000134
1000050135,2022-7-1,Not Specified,60,Delivery Truck,36.61,100000000000001135,10000000000000000135
1000050136,2024-8-1,Not Specified,71,Regular Air,4.95,100000000000001136,10000000000000000136
1000050137,2025-2-1,Not Specified,66,Delivery Truck,17.85,100000000000001137,10000000000000000137
1000050138,2025-6-1,Not Specified,53,Regular Air,1.12,100000000000001138,10000000000000000138
1000050139,2023-2-1,High,56,Regular Air,17.48,100000000000001139,10000000000000000139
1000050140,2026-7-1,Critical,57,Delivery Truck,43.32,100000000000001140,10000000000000000140
1000050141,2025-4-1,Critical,61,Regular Air,9.2,100000000000001141,10000000000000000141
1000050142,2021-11-1,Critical,76,Regular Air,5.16,100000000000001142,10000000000000000142
1000050143,2025-1-1,High,72,Delivery Truck,54.11,100000000000001143,10000000000000000143
1000050144,2026-11-1,High,78,Express Air,13.99,100000000000001144,10000000000000000144
1000050145,2021-2-1,High,60,Regular Air,2.17,100000000000001145,10000000000000000145
1000050146,2021-4-1,Low,68,Regular Air,1.99,100000000000001146,10000000000000000146
1000050147,2024-11-1,Low,53,Express Air,2.85,100000000000001147,10000000000000000147
1000050148,2021-2-1,High,60,Regular Air,1.99,100000000000001148,10000000000000000148
1000050149,2022-2-1,Not Specified,75,Regular Air,8.22,100000000000001149,10000000000000000149
1000050150,2024-1-1,Not Specified,52,Regular Air,5,100000000000001150,10000000000000000150
1000050151,2022-12-1,Medium,62,Regular Air,6.57,100000000000001151,10000000000000000151
1000050152,2021-2-1,Not Specified,60,Regular Air,2.99,100000000000001152,10000000000000000152
1000050153,2026-5-1,Not Specified,62,Regular Air,0.73,100000000000001153,10000000000000000153
1000050154,2021-2-1,Not Specified,60,Regular Air,1.32,100000000000001154,10000000000000000154
1000050155,2024-2-1,Not Specified,61,Delivery Truck,58.92,100000000000001155,10000000000000000155
1000050156,2022-10-1,Not Specified,64,Delivery Truck,69.64,100000000000001156,10000000000000000156
1000050157,2021-3-1,High,63,Regular Air,34.2,100000000000001157,10000000000000000157
1000050158,2026-11-1,High,78,Regular Air,1.2,100000000000001158,10000000000000000158
1000050159,2024-11-1,High,53,Express Air,3.9,100000000000001159,10000000000000000159
1000050160,2025-4-1,Medium,61,Regular Air,16.87,100000000000001160,10000000000000000160
1000050161,2025-12-1,Critical,61,Regular Air,8.09,100000000000001161,10000000000000000161
1000050162,2026-1-1,Critical,51,Regular Air,1.56,100000000000001162,10000000000000000162
1000050163,2025-1-1,Not Specified,72,Delivery Truck,14.7,100000000000001163,10000000000000000163
1000050164,2026-5-1,High,72,Delivery Truck,50,100000000000001164,10000000000000000164
1000050165,2025-3-1,Not Specified,84,Regular Air,6.5,100000000000001165,10000000000000000165
1000050166,2024-2-1,Low,66,Regular Air,16.87,100000000000001166,10000000000000000166
1000050167,2023-1-1,High,66,Delivery Truck,26.2,100000000000001167,10000000000000000167
1000050168,2022-7-1,Not Specified,60,Delivery Truck,30,100000000000001168,10000000000000000168
1000050169,2025-2-1,Critical,96,Regular Air,5.17,100000000000001169,10000000000000000169
1000050170,2022-2-1,Critical,150,Regular Air,13.99,100000000000001170,10000000000000000170
1000050171,2021-12-1,Critical,72,Regular Air,5,100000000000001171,10000000000000000171
1000050172,2026-11-1,Not Specified,168,Regular Air,1.49,100000000000001172,10000000000000000172
1000050173,2023-1-1,Not Specified,66,Regular Air,4,100000000000001173,10000000000000000173
1000050174,2025-9-1,Not Specified,150,Regular Air,8.08,100000000000001174,10000000000000000174
1000050175,2024-1-1,Not Specified,12,Regular Air,0.99,100000000000001175,10000000000000000175
1000050176,2023-7-1,Low,42,Regular Air,19.99,100000000000001176,10000000000000000176
1000050177,2025-2-1,Critical,96,Regular Air,4.98,100000000000001177,10000000000000000177
1000050178,2024-10-1,Low,96,Express Air,6.13,100000000000001178,10000000000000000178
1000050179,2022-7-1,High,60,Regular Air,1.99,100000000000001179,10000000000000000179
1000050180,2021-2-1,Medium,60,Regular Air,8.51,100000000000001180,10000000000000000180
1000050181,2022-11-1,Medium,138,Regular Air,4.98,100000000000001181,10000000000000000181
1000050182,2024-4-1,Not Specified,24,Regular Air,1.57,100000000000001182,10000000000000000182
1000050183,2021-4-1,Medium,108,Delivery Truck,14.36,100000000000001183,10000000000000000183
1000050184,2022-7-1,Low,60,Express Air,1.79,100000000000001184,10000000000000000184
1000050185,2021-2-1,Medium,60,Regular Air,10.29,100000000000001185,10000000000000000185
1000050186,2025-3-1,Medium,84,Regular Air,1.25,100000000000001186,10000000000000000186
1000050187,2025-2-1,Medium,96,Regular Air,1.57,100000000000001187,10000000000000000187
1000050188,2024-6-1,Medium,114,Regular Air,2.35,100000000000001188,10000000000000000188
1000050189,2021-10-1,Low,60,Regular Air,24.49,100000000000001189,10000000000000000189
1000050190,2024-3-1,Not Specified,114,Regular Air,13.89,100000000000001190,10000000000000000240
1000050191,2025-12-1,Low,66,Regular Air,3.3,100000000000001191,10000000000000000241
1000050192,2025-2-1,Low,96,Regular Air,19.99,100000000000001192,10000000000000000242
1000050193,2025-1-1,Low,132,Regular Air,5.08,100000000000001193,10000000000000000243
1000050194,2025-4-1,High,66,Regular Air,6.22,100000000000001194,10000000000000000244
1000050195,2022-7-1,Low,60,Regular Air,3.3,100000000000001195,10000000000000000245
1000050196,2023-8-1,High,96,Regular Air,5.03,100000000000001196,10000000000000000246
1000050197,2026-1-1,High,6,Express Air,1.39,100000000000001197,10000000000000000247
1000050198,2023-2-1,Critical,36,Regular Air,5.6,100000000000001198,10000000000000000248
1000050199,2024-1-1,Critical,12,Regular Air,6.81,100000000000001199,10000000000000000249
1000050200,2023-2-1,Critical,36,Regular Air,0.99,100000000000001200,10000000000000000250
1000050201,2021-6-1,Critical,84,Delivery Truck,44.55,100000000000001201,10000000000000000251
1000050202,2026-3-1,Critical,114,Delivery Truck,15.59,100000000000001202,10000000000000000252
1000050203,2022-6-1,Low,36,Regular Air,1.99,100000000000001203,10000000000000000253
1000050204,2024-6-1,Low,114,Regular Air,6.97,100000000000001204,10000000000000000254
1000050205,2022-10-1,Low,84,Regular Air,0.5,100000000000001205,10000000000000000255
1000050206,2022-10-1,High,84,Regular Air,1.34,100000000000001206,10000000000000000256
1000050207,2021-1-1,High,30,Regular Air,1.99,100000000000001207,10000000000000000257
1000050208,2023-2-1,High,36,Regular Air,19.99,100000000000001208,10000000000000000258
1000050209,2021-2-1,High,60,Regular Air,4.86,100000000000001209,10000000000000000259
1000050210,2023-12-1,High,66,Regular Air,8.32,100000000000001210,10000000000000000260
1000050211,2026-6-1,High,30,Regular Air,3.99,100000000000001211,10000000000000000261
1000050212,2024-2-1,Not Specified,66,Delivery Truck,15.59,100000000000001212,10000000000000000262
1000050213,2024-2-1,Critical,66,Regular Air,14.45,100000000000001213,10000000000000000263
1000050214,2025-2-1,Critical,96,Delivery Truck,60,100000000000001214,10000000000000000264
1000050215,2023-3-1,Critical,48,Delivery Truck,33.6,100000000000001215,10000000000000000265
1000050216,2024-8-1,Low,126,Delivery Truck,64.2,100000000000001216,10000000000000000266
1000050217,2022-7-1,Low,60,Regular Air,24.49,100000000000001217,10000000000000000267
1000050218,2021-11-1,Medium,156,Regular Air,8.99,100000000000001218,10000000000000000268
1000050219,2025-8-1,Critical,144,Express Air,10.49,100000000000001219,10000000000000000269
1000050220,2023-1-1,Low,66,Delivery Truck,29.7,100000000000001220,10000000000000000270
1000050221,2025-2-1,Not Specified,96,Regular Air,4,100000000000001221,10000000000000000271
1000050222,2025-4-1,Not Specified,66,Express Air,6.71,100000000000001222,10000000000000000272
1000050223,2022-1-1,Low,96,Regular Air,12.98,100000000000001223,10000000000000000273
1000050224,2021-2-1,High,60,Regular Air,1.99,100000000000001224,10000000000000000274
1000050225,2021-3-1,High,78,Regular Air,13.26,100000000000001225,10000000000000000275
1000050226,2025-6-1,High,18,Regular Air,1.02,100000000000001226,10000000000000000276
1000050227,2026-3-1,Not Specified,114,Delivery Truck,19.19,100000000000001227,10000000000000000277
1000050228,2026-5-1,Not Specified,72,Regular Air,1.99,100000000000001228,10000000000000000278
1000050229,2023-6-1,Critical,72,Regular Air,9.03,100000000000001229,10000000000000000279
1000050230,2023-8-1,Not Specified,96,Delivery Truck,66.27,100000000000001230,10000000000000000280
1000050231,2022-7-1,Low,60,Express Air,24.49,100000000000001231,10000000000000000281
1000050232,2025-1-1,Not Specified,132,Regular Air,5.47,100000000000001232,10000000000000000282
1000050233,2026-3-1,Not Specified,114,Express Air,5.49,100000000000001233,10000000000000000283
1000050234,2023-8-1,Medium,96,Regular Air,0.5,100000000000001234,10000000000000000284
1000050235,2021-8-1,Medium,48,Regular Air,5.26,100000000000001235,10000000000000000285
1000050236,2024-11-1,Critical,18,Regular Air,7.78,100000000000001236,10000000000000000286
1000050237,2022-1-1,Critical,96,Express Air,8.99,100000000000001237,10000000000000000287
1000050238,2023-11-1,Critical,102,Regular Air,8.99,100000000000001238,10000000000000000288
1000050239,2024-5-1,Critical,72,Regular Air,8.08,100000000000001239,10000000000000000289
1000050240,2026-2-1,Not Specified,12,Regular Air,8.99,100000000000001240,10000000000000000290
1000050241,2021-4-1,Critical,108,Regular Air,6.5,100000000000001241,10000000000000000291
1000050242,2021-8-1,High,48,Regular Air,19.99,100000000000001242,10000000000000000292
1000050243,2025-7-1,High,114,Regular Air,19.99,100000000000001243,10000000000000000293
1000050244,2023-12-1,High,66,Express Air,3.3,100000000000001244,10000000000000000294
1000050245,2024-1-1,Low,12,Regular Air,11.17,100000000000001245,10000000000000000295
1000050246,2025-10-1,Low,60,Regular Air,13.99,100000000000001246,10000000000000000296
1000050247,2023-6-1,Medium,72,Delivery Truck,99,100000000000001247,10000000000000000297
1000050248,2025-2-1,Medium,96,Regular Air,13.99,100000000000001248,10000000000000000298
1000050249,2023-10-1,Critical,108,Regular Air,1.72,100000000000001249,10000000000000000299
1000050250,2025-8-1,Critical,144,Regular Air,4.5,100000000000001250,10000000000000000300
1000050251,2021-4-1,Critical,108,Regular Air,6.6,100000000000001251,10000000000000000301
1000050252,2025-3-1,Critical,84,Regular Air,15.01,100000000000001252,10000000000000000302
1000050253,2024-5-1,Critical,72,Delivery Truck,36.09,100000000000001253,10000000000000000303
1000050254,2026-3-1,Critical,114,Regular Air,10.75,100000000000001254,10000000000000000304
1000050255,2026-1-1,Critical,6,Regular Air,0.7,100000000000001255,10000000000000000305
1000050256,2024-5-1,Critical,72,Regular Air,6.07,100000000000001256,10000000000000000306
1000050257,2024-8-1,Not Specified,126,Regular Air,5.23,100000000000001257,10000000000000000307
1000050258,2025-5-1,Critical,102,Regular Air,5.1,100000000000001258,10000000000000000308
1000050259,2024-9-1,Critical,498,Regular Air,3.14,100000000000001259,10000000000000000309
1000050260,2021-1-1,Not Specified,30,Regular Air,2.99,100000000000001260,10000000000000000310
1000050261,2022-7-1,High,60,Regular Air,4.75,100000000000001261,10000000000000000311
1000050262,2022-1-1,High,96,Regular Air,11.37,100000000000001262,10000000000000000312
1000050263,2021-4-1,Critical,108,Regular Air,5.92,100000000000001263,10000000000000000313
1000050264,2024-1-1,High,12,Regular Air,2.5,100000000000001264,10000000000000000314
1000050265,2024-5-1,High,72,Regular Air,5.14,100000000000001265,10000000000000000315
1000050266,2021-1-1,Medium,30,Regular Air,4.1,100000000000001266,10000000000000000316
1000050267,2022-10-1,Not Specified,84,Regular Air,2.99,100000000000001267,10000000000000000317
1000050268,2025-12-1,High,66,Regular Air,5.01,100000000000001268,10000000000000000318
1000050269,2024-11-1,High,18,Delivery Truck,28.06,100000000000001269,10000000000000000319
1000050270,2024-1-1,Critical,12,Delivery Truck,41.91,100000000000001270,10000000000000000320
1000050271,2021-3-1,High,78,Regular Air,19.99,100000000000001271,10000000000000000321
1000050272,2023-7-1,High,42,Delivery Truck,35.02,100000000000001272,10000000000000000322
1000050273,2021-12-1,Critical,72,Regular Air,0.99,100000000000001273,10000000000000000323
1000050274,2025-12-1,Medium,66,Regular Air,24.49,100000000000001274,10000000000000000324
1000050275,2023-9-1,Medium,102,Regular Air,35,100000000000001275,10000000000000000325
1000050276,2025-12-1,Low,66,Regular Air,2.99,100000000000001276,10000000000000000326
1000050277,2023-7-1,Low,42,Regular Air,0.49,100000000000001277,10000000000000000327
1000050278,2026-3-1,Not Specified,114,Regular Air,3.9,100000000000001278,10000000000000000378
1000050279,2024-1-1,Not Specified,12,Regular Air,5.83,100000000000001279,10000000000000000379
1000050280,2026-1-1,Low,6,Regular Air,14.45,100000000000001280,10000000000000000380
1000050281,2024-11-1,Medium,18,Delivery Truck,87.01,100000000000001281,10000000000000000381
1000050282,2022-10-1,Medium,84,Delivery Truck,48.8,100000000000001282,10000000000000000382
1000050283,2023-2-1,Medium,36,Regular Air,8.65,100000000000001283,10000000000000000383
1000050284,2021-2-1,Not Specified,60,Regular Air,11.37,100000000000001284,10000000000000000384
1000050285,2023-8-1,Critical,96,Regular Air,14.87,100000000000001285,10000000000000000385
1000050286,2022-6-1,Critical,36,Regular Air,1.32,100000000000001286,10000000000000000386
1000050287,2026-4-1,Critical,78,Regular Air,4.98,100000000000001287,10000000000000000387
1000050288,2022-7-1,Critical,60,Express Air,6.64,100000000000001288,10000000000000000388
1000050289,2022-7-1,Critical,60,Regular Air,19.99,100000000000001289,10000000000000000389
1000050290,2024-1-1,Low,12,Regular Air,24.49,100000000000001290,10000000000000000390
1000050291,2024-5-1,Low,72,Regular Air,1.99,100000000000001291,10000000000000000391
1000050292,2023-12-1,Critical,66,Regular Air,1.49,100000000000001292,10000000000000000392
1000050293,2024-3-1,Critical,168,Regular Air,1.46,100000000000001293,10000000000000000393
1000050294,2024-5-1,Critical,72,Express Air,17.78,100000000000001294,10000000000000000394
1000050295,2026-3-1,Medium,114,Regular Air,8.49,100000000000001295,10000000000000000395
1000050296,2025-7-1,Medium,114,Regular Air,0.75,100000000000001296,10000000000000000396
1000050297,2021-2-1,Low,60,Express Air,6.93,100000000000001297,10000000000000000397
1000050298,2022-3-1,Low,36,Regular Air,0.99,100000000000001298,10000000000000000398
1000050299,2024-5-1,High,72,Regular Air,13.99,100000000000001299,10000000000000000399
1000050300,2023-8-1,High,114,Regular Air,0.7,100000000000001300,10000000000000000400
1000050301,2023-2-1,Critical,36,Regular Air,0.99,100000000000001301,10000000000000000401
1000050302,2021-2-1,Critical,60,Regular Air,8.99,100000000000001302,10000000000000000402
1000050303,2022-8-1,Medium,144,Delivery Truck,66.27,100000000000001303,10000000000000000403
1000050304,2021-1-1,Medium,30,Regular Air,0.99,100000000000001304,10000000000000000404
1000050305,2026-1-1,Low,6,Regular Air,5.26,100000000000001305,10000000000000000405
1000050306,2023-1-1,High,66,Regular Air,2.04,100000000000001306,10000000000000000406
1000050307,2022-2-1,High,150,Regular Air,3.26,100000000000001307,10000000000000000407
1000050308,2024-10-1,Medium,96,Regular Air,2.4,100000000000001308,10000000000000000408
1000050309,2022-10-1,Medium,84,Regular Air,7.51,100000000000001309,10000000000000000409
1000050310,2026-2-1,Not Specified,12,Regular Air,1.99,100000000000001310,10000000000000000410
1000050311,2026-6-1,Not Specified,30,Regular Air,6.64,100000000000001311,10000000000000000411
1000050312,2021-2-1,Not Specified,60,Express Air,4.81,100000000000001312,10000000000000000412
1000050313,2023-8-1,Not Specified,96,Regular Air,4.86,100000000000001313,10000000000000000413
1000050314,2026-2-1,Not Specified,12,Regular Air,7.19,100000000000001314,10000000000000000414
1000050315,2023-8-1,Not Specified,96,Regular Air,11.25,100000000000001315,10000000000000000415
1000050316,2022-7-1,Not Specified,60,Delivery Truck,28.66,100000000000001316,10000000000000000416
1000050317,2023-6-1,Critical,72,Regular Air,4.39,100000000000001317,10000000000000000417
1000050318,2024-6-1,Critical,114,Regular Air,8.37,100000000000001318,10000000000000000418
1000050319,2025-4-1,Critical,66,Regular Air,4.62,100000000000001319,10000000000000000419
1000050320,2026-11-1,Critical,168,Express Air,5.5,100000000000001320,10000000000000000420
1000050321,2024-8-1,Not Specified,126,Delivery Truck,69.3,100000000000001321,10000000000000000421
1000050322,2024-3-1,High,168,Regular Air,0.5,100000000000001322,10000000000000000422
1000050323,2022-2-1,High,150,Regular Air,0.49,100000000000001323,10000000000000000423
1000050324,2025-7-1,High,114,Regular Air,2.5,100000000000001324,10000000000000000424
